text,product,target,clean
#sxsw Haralambous &quot;iPhone is 1% of Africa market&quot;,,1,sxsw haralambous quot iphone africa market quot
"Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party åÈ Android Phones, Android Tablets, News, Tech, Gad.. 
{link}",,1,samsung galaxy appears team android sxsw party android phone android tablet news tech link
Samsung Galaxy S II Appears At FCC And Team Android #SXSW Party {link} via @mention,,1,samsung galaxy appears team android sxsw party link
@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw,Google,2,alive loving great talk jonathan dahl minimalistprogramming google marissa mayer marissagoogle sxsw
Sudden realization in session news publishers have the same questions about iPad design &amp; only share ideas via the App Store #sxsw #sxswi,,1,sudden realization session news publisher question ipad design share idea store sxsw sxswi
I just realized my iPhone's gonna go nuts with Foursquare and Gowalla updates. #SXSW,,1,realized iphone gonna nut foursquare gowalla update sxsw
I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,iPhone,2,realized havnt used laptop since thursday pure iphone sprinkle ipad apple sxsw
GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw,Apple,0,groupme talk apple store approval woe would group people would agree whowillrise sxsw
It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Apple,0,apple love sxsw heard quite grumbling holding back feature ipad people would
Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,Android,0,android meetups austin work well least meetup sxsw
Server Challenge is a huge hit at #sxsw! Come by booth 400 to try your hand. Win an iPhone 4 bottle opener case by beating 2 mins.,,1,server challenge huge sxsw come booth hand iphone bottle opener case beating min
Google challenges Facebook with surprise announcement at #sxsw this weekend. @mention has the inside scoop: {link},,1,google challenge facebook surprise announcement sxsw weekend inside scoop link
#virtualwallet #sxsw #paypal we get physical goods cut #apple gets their 30% on software and virtual goods,,1,virtualwallet sxsw paypal physical good apple get software virtual good
#virtualwallet #sxsw no NFC in #iphone5 bc of standardization while #android will have it #confusion,iPhone,0,virtualwallet sxsw iphone standardization android confusion
"@mention allows you to volunteer on your iPad, #SXSW",,1,allows volunteer ipad sxsw
I was finally forced to google #sxsw. Why can't people tweet with better #contextclues like on #jeopardy?,,1,finally forced google sxsw people tweet better contextclues like jeopardy
Apple. Really? You need brand recognition? I prefer the Red Delicious Variety! :-) {link} #sxsw #popupstores,,1,apple really need brand recognition prefer delicious variety link sxsw popupstores
New #socialnetwork for #Google? #Facebook #Twitter #SXSW {link} via @mention,,1,socialnetwork google facebook twitter sxsw link
{link} - Alright #SXSW iPad 2 line time. Line is reasonable. 1/4 block + 1 block + 1/2 block,,1,link alright sxsw ipad line time line reasonable block block block
"@mention also check out @mention for #Android &amp; web. Has group chat, whiteboarding, location &amp; image sharing, and more. #app #SXSW",,1,also check android group chat whiteboarding location image sharing app sxsw
And. I'm also gonna Google #SXSW so I will finally know what that means. Been seeing it pass by on Twitter enough times now. Gotta find out.,,1,also gonna google sxsw finally know mean been seeing pas twitter enough time gotta find
@mention also if your at #sxsw and have an iphone you can use the @mention site to check in.,,1,also sxsw iphone site check
#sxsw #health2dev Zeiger &quot;Health is moving so much slower than we could be.&quot; #Google,,1,sxsw health zeiger quot health moving much slower could quot google
Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw,,2,monthly value user android utility apps valuable sxsweisner sxsw
DL the #Calyp App to get into #Calyp Casa at #SXSW the free mobile app is available in iTunes App Store &amp; Android Market. See u there!,,1,calyp calyp casa sxsw free mobile available itunes store android market
DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW,Android App,2,calyp today avail itunes store android market calyp look sxsw
DL the #Calyp app today! Avail in the iTunes App Store &amp; Android Market. Special perks for #Endorsers at #SXSW #Calyp Casa,,1,calyp today avail itunes store android market special perk endorser sxsw calyp casa
Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard,Other Google product or service,2,google analytics track offsite link virtual page view using javascript moreknowledge sxsw mitharvard
Google analytics rocks #VIEW512 #SXSW,Other Google product or service,2,google analytics rock view sxsw
Google team and panel say agencies have attitudes. You think?#agileagency #SXSW,,1,google team panel agency attitude think agileagency sxsw
"At the Team Android party. Can't find it on Gowalla or Foursquare, so um, there you go. #sxsw",,1,team android party find gowalla foursquare sxsw
Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw,,2,holler gram ipad itunes store link sxsw
Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,iPad or iPhone App,2,holler gram ipad itunes store link sxsw sters great madebymany free
"UMSHINI WAM/NIGHT FISHING are both weird as shit, but as @mention said they work well together. I liked both, esp the iPhone footage. #SXSW",iPhone,2,umshini night fishing weird shit said work well together liked iphone footage sxsw
Could a game improve ecodriving habits? RT @mention ÛÏ35 million miles a day are driven while being Google Maps Navigation assisted.&quot;#sxsw,,1,could game improve ecodriving habit million mile driven google map navigation assisted quot sxsw
Style X &amp; @mention - brethren #SXSW pop-ups! ://m.theatlantic.com/technology/archive/2011/03/apple-sets-up-temporary-megastore-at-sxsw/72296/,,1,style brother sxsw theatlantic technology archive apple set temporary megastore sxsw
Marissa &amp; the Google crew recommend Amy's Ice Cream in Austin  #SxSW,,1,marissa google crew recommend cream austin sxsw
"Watching an 8 year old report on #sxsw via his iPhone shows that technology isn't going anywhere...until the robots revolt, that is.",iPhone,2,watching year report sxsw iphone show technology going anywhere robot revolt
"Now You Can Actually Use Q&amp;A Site Hipster, If YouÛªre At SXSW That Is {link} #CO #iPhone #online #SXSW",,1,actually site hipster sxsw that link iphone online sxsw
We built an app to map driving directions to polling places before Google Maps. #SXSW ^PR,,1,built driving direction polling place google map sxsw
"There is an art to advertising, not just statistics, says @mention to Google Admob guy who asked a question.  #SXSW #sxflip #SXSWi",,1,there advertising statistic say google admob asked question sxsw sxflip sxswi
Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete!,iPad,2,just awesome ipad sxswbuffalo lounge sxsw experience complete
"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}",Other Google product or service,2,sxsw vegan guide google austin link based lazy smurf info link
"Don't by an ipad 2 for the rear-facing camera, here is what you get: {link} #sxsw",iPad,0,ipad rear facing camera link sxsw
"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw",iPhone,2,ipad someone give otherwise iphone actually task sxsw
"Just buy an iPad 2 at #SXSW? Give it the finger. Better yet, give it four of 'em :: {link}",,1,just ipad sxsw give finger better give four link
Just won an iPad 2 at #sxsw thanks to @mention #fxsw,iPad,2,just ipad sxsw thanks fxsw
Just got an iPad courtesy of a random stranger on the street...an Apple investor at #sxsw ... THANK YOU!!!! Utter... {link},iPad,2,just ipad courtesy random stranger street apple investor sxsw thank utter link
@mention An iPad is cheaper than most laptops. #newsapps #sxsw,iPad,2,ipad cheaper laptop newsapps sxsw
Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed,iPad or iPhone App,2,iphone people sxsw scheduling this awesome flummoxed
"Just saw an iPhone #periscope move w/ 2nd camera @mention  gowalla talk @mention #sxsw. Snoring guy busted &amp; documented. Get a cpap, homie!",,1,just iphone periscope move camera gowalla talk sxsw snoring busted documented cpap homie
Want a chance to win an iPad 2 while you're at #SXSW? Visit Aquent Booth 1413 {link},,1,want chance ipad sxsw visit aquent booth link
@mention and @mention #SXSW Industry Party (@mention GSD&amp;M w/ 64 others) {link},,1,sxsw industry party others link
@mention and @mention open up a 64GB 3G iPad 2 - Unboxing and first look - @mention #ipad2 #ipad #apple {link} via @mention #sxsw,,1,open ipad unboxing first look ipad ipad apple link sxsw
@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link},,2,saying sxsw iphone case zazzlesxsw link
@mention and @mention shooting some videos at #sxsw. PS - that is a pic from an iPad 2. {link},iPad,2,shooting video sxsw ipad link
"Computer and Droid here RT @mention My #agnerd confession, using laptop, iPad and blackberry to follow #SXSW from afar to see #agchat",,1,computer droid agnerd confession using laptop ipad blackberry follow sxsw afar agchat
At #SXSW and having 10 times better luck with my Verizon air card than my AT&amp;T iPhone.,,1,sxsw time better luck verizon card iphone
@mention and I did a &quot;south by&quot; drive-by for this baby!! What an adventure!! #sxsw #iPad #fb  {link},,1,quot south quot drive baby what adventure sxsw ipad link
"oh sure, and I don't arrive till tomorrow ........ ÛÏ@mention RT @mention Google set to launch new social network #Circles today at #sxswÛ",,1,sure arrive till tomorrow google launch social network circle today sxsw
"All tech and interaction events have their own ipad apps, right?    {link} #sxsw",,1,tech interaction event ipad apps right link sxsw
At #SXSW and need to get your iPad 2 right away? Apple is opening a pop-up store for you at West 6th &amp; Congress: {link},,1,sxsw need ipad right away apple opening store west congress link
"Check in and offers through Google, cool. {link} #SXSW",Google,2,check offer google cool link sxsw
At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mention,,1,sxsw want ipad case
Was he standing? Talented... RT @mention eww &amp; LOL. RT @mention Just saw a guy tweeting on his iPad while peeing...This is #sxsw,,1,standing talented just tweeting ipad peeing this sxsw
@mention android dev #sxsw @mention {link},,1,android sxsw link
Complete Android Guide (print) on sale at #sxsw bookstore today: $15. Include 99-cent upgrade to 2.4/3.0-ready ebook. Signing at 4:30!,,1,complete android guide print sale sxsw bookstore today include cent upgrade ready ebook signing
@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.,Android,2,android call sxsw gamelayer opening keynote knew appreciate
@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs,Android,0,android need group apps like ipad ipod sxsw hhrs
Building Android or iOS applications? We've got a tool that can do both - #SXSW Ballroom A at 11:00,,1,building android application tool sxsw ballroom
"iPad2 vs Android vs the World. With a title like this, I have a near hockey-fan esque desire for a fight to break out. #gsdm #sxsw #platform",,1,ipad android world with title like near hockey esque desire fight break gsdm sxsw platform
"Awesome hands on review of the iPad 2 coming tomorrow on @mention , guest post by @mention - he's at #SXSW",iPad,2,awesome hand review ipad coming tomorrow guest post sxsw
Woke up sandwiched between my iPhone and iPad. I forgot how much #SXSW was like geek spring break,,1,woke sandwiched iphone ipad forgot much sxsw like geek spring break
"Paywall panel: Daniel Bernard WSJ:
In app (game) purchases are frictionless like apple. &quot;the new free&quot; #sxsw",,1,paywall panel daniel bernard game purchase frictionless like apple quot free quot sxsw
#LonelyPlanet #Austin iPhone app is a (free!) godsend. GPS-aware map of the city without the need for 3G or WiFi! #sxsw,iPad or iPhone App,2,lonelyplanet austin iphone free godsend aware city without need wifi sxsw
lonely planet austin guide on the iphone free download for a limited period {link} #sxsw,,1,lonely planet austin guide iphone free download limited period link sxsw
"Lonely Planet has made the Austin Guide free for #sxsw grab it, you never know when you will need it. {link}",,1,lonely planet made austin guide free sxsw grab never know need link
Lonely Planet releases free Austin city guide iPhone app for #SXSW. Like there aren't enough apps cluttering up your handset.,iPad or iPhone App,0,lonely planet release free austin city guide iphone sxsw like enough apps cluttering handset
Lonely Planet's free guide to Austin: {link} iPhone #sxsw,,1,lonely planet free guide austin link iphone sxsw
Lonely Planet's new iPhone Austin city guide is free March 9-15 for those going to #SXSW! {link} #travel,iPad or iPhone App,2,lonely planet iphone austin city guide free march going sxsw link travel
Game mechanics talk with google at sxsw is so packed there's a long line still waiting to get in. #sxsw,,1,game mechanic talk google sxsw packed long line still waiting sxsw
Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ? At #busy #sxsw,iPhone,1,spontaniety life replaced technology when iphone battery dy home great busy sxsw
The day Bank of America launched their iPhone app they got 250k new customers #bankinnovation #SXSW,iPad or iPhone App,2,bank america launched iphone customer bankinnovation sxsw
"A huge THANK U to the nice person who found my iPhone (blue, white stripes) on the 4th floor of the ConventionCenter &amp; brought it back #sxsw",,1,huge thank nice person found iphone blue white stripe floor conventioncenter brought back sxsw
#sxsw  thanks for the ever present iPhone barging tables...,,2,sxsw thanks ever present iphone barging table
@mention announces #windowsphone app today #sxsw {link} #wp7,,1,announces windowsphone today sxsw link
@mention another google social failure? #sxsw,Google,0,another google social failure sxsw
Google plans to bring &quot;The Power of Here&quot; to life in the future by linking the digital and the physical worlds. {link} #sxsw,,2,google plan bring quot power here quot life future linking digital physical world link sxsw
"Google plans to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,1,google plan launch major social network called circle possibly today link sxsw
Austinl fans: RT @mention Head over to {link} by 1pm CST today to win VIP access to my acoustic solo set at #SXSW tonight,,1,austinl fan head link today access acoustic solo sxsw tonight
mom...I want my ipad 2 back! {link} #thingsthatdontgotogether #sxsw Lisa Rinna,iPad,2,want ipad back link thingsthatdontgotogether sxsw lisa rinna
I don't want to lose your love #google #SXSW,Google,2,want lose love google sxsw
So brilliant. Rosso used a google  doc to paste in a recipe to make mothers think they generated a recipe for her. #leanstartup #sxsw,Other Google product or service,2,brilliant rosso used google paste recipe make mother think generated recipe leanstartup sxsw
Hello gigantic line outside Google v Bing SEO session. #sxsw #sxswi,,1,hello gigantic line outside google bing session sxsw sxswi
what company company has the best supply chain? Walmart and Apple #behance #sxsw,Apple,2,company company best supply chain walmart apple behance sxsw
@mention Any idea what time the apple store at #sxsw closes tonight?,,1,idea time apple store sxsw close tonight
"Is there any way of deleting an app that won't stop loading on the iPhone? Draining my power, but no 'x' to cancel. Help me, #SXSW.",iPad or iPhone App,0,deleting stop loading iphone draining power cancel help sxsw
"Fast Company: #SXSW Why Google, Apple, EA Games, Zynga, Facebook, Microsoft and Intuit went gaga for The Go Game... {link}",,1,fast company sxsw google apple game zynga facebook microsoft intuit went gaga game link
"Why does anyone do a product just for one thing - just an iPad, just a droid, just a IPhone? Won't ultimately work. @mention Diller #SXSW",,1,anyone product thing ipad droid iphone ultimately work diller sxsw
Great recap of a seemingly great #sxsw session: RT @mention Relive the wonder that was the Google v Bing panel: {link},Google,2,great recap seemingly great sxsw session relive wonder google bing panel link
Great recap of Google/Bing Q/A session on website ranking #SXSW #qagb {link} (via @mention cc: @mention,Google,2,great recap google bing session website ranking sxsw qagb link
"iPad 2 Graphics Much Faster Than iPad 1, Motorola Xoom {link} @mention #tech #SXSW",iPad,2,ipad graphic much faster than ipad motorola xoom link tech sxsw
#sxsw #evaporation @mention @mention Business model is the platform; iPhone app makes tools available to developers,iPad or iPhone App,2,sxsw evaporation business model platform iphone make tool available developer
#android app Bizzy challenges us to &quot;Check Out&quot; #Sxsw {link},,1,android bizzy challenge quot check quot sxsw link
#Android App Review: #SXSW Go. | {link} pls ª¼,,1,android review sxsw link
I hope  #apple approves iRelay social network for mobile photo sharing app before #SXSW. Easier to share with people of they can download,iPad or iPhone App,2,hope apple approves irelay social network mobile photo sharing sxsw easier share people download
"At #sxsw apple has 99% marketshare, not seeing much linux.",,1,sxsw apple marketshare seeing much linux
A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies,Apple,0,major apple update sxsw what genius project manager came brilliant idea nowhammies
@mention Apple is great at turning the new into the old  #SXSW,Apple,2,apple great turning sxsw
Sweet... Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,2,sweet apple listened temp apple store near sxsw ipad launch link
@mention Apple pop-up store at #sxsw was 5 blocks long! #BetterThingsToDo,Apple,0,apple store sxsw block long betterthingstodo
Does the apple pop-up store still have iPads? #sxsw #sxswi,iPad,2,doe apple store still ipads sxsw sxswi
"Love the Apple pop-up store at #SXSW. So freaking smart. Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.",Apple,2,love apple store sxsw freaking smart question will bring truck signal please
Queue at Apple Pop-Up Store at #sxsw still long!,,0,queue apple store sxsw still long
"At SXSW, Apple schools the marketing experts - CNET {link} #sxsw",Apple,2,sxsw apple school marketing expert cnet link sxsw
"At SXSW, Apple schools the marketing experts {link}  #SXSW",Apple,2,sxsw apple school marketing expert link sxsw
"At SXSW, Apple schools the marketing experts {link} /via @mention #SXSW #Apple",Apple,2,sxsw apple school marketing expert link sxsw apple
"At SXSW, Apple schools the marketing experts {link} #Apple #JobsCo #SXSW",Apple,2,sxsw apple school marketing expert link apple jobsco sxsw
"At SXSW, Apple schools the marketing experts {link} #SXSW #essdub",,1,sxsw apple school marketing expert link sxsw essdub
"At SXSW, Apple schools the marketing experts | #SXSW. {link}",,1,sxsw apple school marketing expert sxsw link
"At SXSW, Apple schools the marketing experts: {link} via @mention #sxsw #apple #marketing",Apple,2,sxsw apple school marketing expert link sxsw apple marketing
clever - Apple set to open popup shop in core of #SXSW action {link},Apple,2,clever apple open popup shop core sxsw action link
Watched #Apple staff at the temp #sxsw store just high five entire long line and facepalmed. Ugh.,,1,watched apple staff temp sxsw store high five entire long line facepalmed
@mention Apple store NYC one day? #SXSW,,1,apple store sxsw
"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool. #SXSW",Apple,2,temp apple store great move really need help brand recognition seriousness pretty cool sxsw
Well The Apple Store website says iPads will only be available at 5 PM on Friday Wonder how that will affect #SxSW,,1,well apple store website say ipads available friday wonder affect sxsw
@mention Apple to open a pop-up store downtown Austin (6th &amp; congress) for #SXSW and the iPad 2 launch,,1,apple open store downtown austin congress sxsw ipad launch
Come on #Apple! Why cant I have spell-checking without auto-correct? Must it be all or nothing? #Grrr #sxsw,Apple,0,come apple cant spell checking without auto correct must nothing grrr sxsw
Line for Apple's iPad 2 popup store is already wrapping around the block. #SXSW  {link},,2,line apple ipad popup store already wrapping around block sxsw link
@mention apple's making a temp store for #SXSW 2011 for u to get an iPad 2 !! {link},iPad,2,apple making temp store sxsw ipad link
New iPad Apps for #Speech Therapy and Communication Are Showcased at the #SXSW Conference {link},,1,ipad apps speech therapy communication showcased sxsw conference link
New iPad Apps for Speech Therapy and Communication Are Showcased at #SXSW | @mention {link},,1,ipad apps speech therapy communication showcased sxsw link
New iPad Apps For Speech Therapy And Communication Are Showcased At The #SXSW Conference {link} #sxswi #SXSH #SXSWh #hcsm #slp,,1,ipad apps speech therapy communication showcased sxsw conference link sxswi sxsh sxswh hcsm slp
New iPad Apps for Speech Therapy and Communication Are Showcased at the #SXSW Conference {link} cc @mention @mention #sxswi,,1,ipad apps speech therapy communication showcased sxsw conference link sxswi
First 19 Apps To Download For Your #iPad 2 {link} #SXSW #in via @mention @mention,,1,first apps download your ipad link sxsw
#SXSW is Apptastic! {link} #android #apps #developers #ios #iphone #smartphones,,1,sxsw apptastic link android apps developer io iphone smartphones
"#SXSW ##tapworthy Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW.
{link}",,1,sxsw tapworthy check ipad design headache tablet call morning sxsw link
Vai comeÌ¤ar a palestra do  @mention ex-chief evangelist of Apple #sxsw,,1,come palestra chief evangelist apple sxsw
"Seen so far at #SxSW: pop-up Apple Store, pillow fight, mechanical bull, girls wearing jetpacks.",,1,seen sxsw apple store pillow fight mechanical bull girl wearing jetpacks
150 mm usar of Google maps ate mobile. #sxsw,,1,usar google map mobile sxsw
"Not to fear, #SXSW attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via @mention",iPad,2,fear sxsw attendee pick ipad apple austin shop link
#bettersearch #sxsw Does Google weight Hotpot reviews heavier than other review sites when collecting data for local search results?,,1,bettersearch sxsw doe google weight hotpot review heavier review site collecting data local search result
"#bettersearch #sxsw Google Hotpot--looks like a streamlined Yelp. Not as in-depth, though. Wondering if there is any game theory built in.",,1,bettersearch sxsw google hotpot look like streamlined yelp depth though wondering game theory built
"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results #sxsw",Other Google product or service,2,search sxsw twitter work check google real time search least result sxsw
20% of searches on Google are local searches #SXSW,,1,search google local search sxsw
Another hard call this morning: Designing for the iPad or From reading to writing the genetic code. Going with the latter. #sxsw,,1,another hard call morning designing ipad from reading writing genetic code going latter sxsw
Police guard iPad 2's at Apple Store #sxsw #iPad {link},,1,police guard ipad apple store sxsw ipad link
I just heard that iPads are sold out (except for a few) at Apple pop-up store #sxsw True?,,1,heard ipads sold except apple store sxsw true
"Share, share and share some more. #Posterous Joins The #SXSW Pile On With Posterous Events For iPhone {link} #socmedia",,2,share share share posterous join sxsw pile with posterous event iphone link socmedia
"Checkins are fun, but we need to extend beyond just being fun and make checkins useful #sxsw #google",,1,checkins need extend beyond make checkins useful sxsw google
Startups are talking to the captive audience here in the Apple store line. Very smart idea. Why aren't more doing it? #SXSW,,1,startup talking captive audience apple store line very smart idea sxsw
@mention are you around #sxsw? Need a US sim for my iphone 3GS for the next 10. Wanna bring one in? #please,,1,around sxsw need iphone next wanna bring please
"@mention Are you at #sxsw ?  || No, just watching from afar.  Couldn't help noticing buzz generated by  a shirt + arduino + android !",,1,sxsw watching afar couldn help noticing buzz generated shirt arduino android
@mention are you in Texas? HOW IS IT?  #Apple #SXSW,,1,texas apple sxsw
@mention are you really coming to the Team Android Party? #sxsw,,1,really coming team android party sxsw
Tried Square?? It's a credit card reader for iPhone and Android. Amazingly simple. #SXSW impressed. {link},iPad or iPhone App,2,tried square credit card reader iphone android amazingly simple sxsw impressed link
@mention arg. It won't load on me iPhone. Not via the app store or the site. Just trying to #sxsw it and am feelin so out of touch.,iPhone,0,load iphone store site just trying sxsw feelin touch
"had to charge the #iphone every 6hours here on #sxsw. running it on lowest possible screen brightness. apple, fix your basics!",iPhone,0,charge iphone every hour sxsw running lowest possible screen brightness apple basic
iPhone charging at #SXSW  {link},,1,iphone charging sxsw link
iPhone charging party in the hallway. UX and IA professionals unite! #sxsw,iPhone,2,iphone charging party hallway professional unite sxsw
We are gearing up for the #SXSW interactive trade show! We are across from Google:  {link},,1,gearing sxsw interactive trade show across google link
iPhone sharing???? #sxsw #shareable,,1,iphone sharing sxsw shareable
Arrived early to get prime seats for presentation by Google's Marissa Mayer #SXSW -KEK,,1,arrived early prime seat presentation google marissa mayer sxsw
The line around the Austin Apple pop-up store? Unbelievable. #SXSW #technology #junkies,,1,line around austin apple store unbelievable sxsw technology junky
Man gets arrested at #sxsw for not having an iPhone.  {link},,1,get arrested sxsw iphone link
"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google. #sxsw",Google,2,rachael harris that that driving nut thank google sxsw
I go to bars and get free drinks because I have an iPhone. #doesdroid #SXSW,iPhone,2,bar free drink iphone doesdroid sxsw
"Thanks, Marshall Jones for the heads-up! Apple to open temporary store for #SXSW at 6th and Congress... {link}",,1,thanks marshall jones head apple open temporary store sxsw congress link
Such a smart idea RT @mention w00t! @mention wrote about our #hollergram iPad app for #sxsw!  {link},iPad or iPhone App,2,such smart idea wrote hollergram ipad sxsw link
Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art. #SxSW,Google,2,google project put famous artwork billion pixel allowing zoom entirely different view sxsw
Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,Other Google product or service,2,google project would great virtual field trip kid museum around world edtech sxsw
Good CNN article on why #SXSW is important to social web innovators. {link} This is why I'm bringing Griddler iPad app there.,iPad or iPhone App,2,good article sxsw important social innovator link this bringing griddler ipad
Android party ... #SxSW (@mention Lustre Pearl Bar w/ 63 others) {link},,1,android party sxsw lustre pearl others link
Android party #sxsw (@mention Lustre Pearl Bar w/ 19 others) {link},,1,android party sxsw lustre pearl others link
Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link},Android,2,android party sxsw lustre pearl others link
"Day 3 - Party hangover, time confused, stumbling into &quot;iPad Interfaces &amp; New Navigation Structures.&quot; Bliss. #SXSW #fb",,1,party hangover time confused stumbling quot ipad interface navigation structure quot bliss sxsw
"Chimpit party, plutopia, google, maybe a movie. #sxsw starts today for me :)",,1,chimpit party plutopia google maybe movie sxsw start today
I'm lazy as F. Is there a feed for listening to #SXSW bands on iPhone? I'm woefully unprepared for music @mention spreadsheet notwithstanding,,1,lazy feed listening sxsw band iphone woefully unprepared music spreadsheet notwithstanding
&quot;ideas not objects&quot; Robert burner hired Ives at apple. #sxsw,,1,quot idea object quot robert burner hired ives apple sxsw
OH at Texas Social Media Awards: 'You don't need to ask your mother anymore. Just Google it.' #sxswi #sxsw,,1,texas social medium award need mother anymore just google sxswi sxsw
#sxsw Kawasaki says key to enchantment is likability of @mention trustworthiness of @mention &amp; product of @mention,,1,sxsw kawasaki say enchantment likability trustworthiness product
Apple = case study of great #mktg. At #SXSW they just showed everyone up again with buzz about the &quot;pop-up store&quot;: {link},Apple,2,apple case study great mktg sxsw showed everyone buzz quot store quot link
RT SteveCase: Google to Launch Major New Social Network Called Circles {link} #sxsw,,1,stevecase google launch major social network called circle link sxsw
Google quash Circles rumours RT @mention We're not launching any products at #SXSW but we're doing plenty else {link},,1,google quash circle rumour launching product sxsw plenty else link
Is the Flash discussion still relevant? #SXSW #tapworthy iPad design headaches,,0,flash discussion still relevant sxsw tapworthy ipad design headache
iPhone crashed in front of #sxsw Apple pop-up. #bestworstthingever,,1,iphone crashed front sxsw apple bestworstthingever
"Got my flask &amp; my iPad . Yes,  I'm sitting on 9th st waiting for AICN screening. #sxsw #prepared # ILoveaSurprise {link}",iPad,2,flask ipad sitting waiting aicn screening sxsw prepared iloveasurprise link
"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",Other Google product or service,0,asked google mayer take year remove deadly route google map death valley sxsw
"Like you asserted, corporate is the new indie. RT @mention Well damn, Apple setting up a &quot;pop-up&quot; shop at #SXSW {link}",,1,like asserted corporate indie well damn apple setting quot quot shop sxsw link
Can't be at  #SXSW ? well this is a nice (free) booby prize... Featured Artists - {link} #iTunes #free via  @mention,,1,sxsw well nice free booby prize featured artist link itunes free
@mention at #cnngrill #sxsw rockin the #iphone couldn't be cooler {link},iPhone,2,cnngrill sxsw rockin iphone cooler link
@mention at #SXSW also known as hershel by my iPhone autocorrect. {link},,1,sxsw also known hershel iphone autocorrect link
"NYT, WSJ at #SXSW ask: Is there a future for branded, native news apps on the iPad? {link} / no there is NOT!!",iPad or iPhone App,0,sxsw future branded native news apps ipad link
"@mention at #SXSW, 9 out of 10 attendees have MAC or iPad.",iPad,2,sxsw attendee ipad
"Startups at #SXSW, @mention is giving away free hosting. Fill out this and @mention me for a chance to win. {link}",,1,startup sxsw giving away free hosting fill chance link
@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via @mention,Apple,2,sxsw quot apple come cool technology ever heard conference quot
@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via @mention,Apple,2,sxsw quot apple come cool technology ever heard conference quot
@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,2,sxsw quot apple come cool technology ever heard conference quot
@mention at #sxsw: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link},Google,2,sxsw google will connect digital physical world through mobile link link
"Verbs OH at #SXSW: bump, google, facebook, ping, hashable, fuck, meet, hire...(me) any more?",,1,verb sxsw bump google facebook ping hashable fuck meet hire
@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone,Android App,2,sxsw first send free download game android videogame smartphone
Can't be at #sxsw? download their free music mix on itunes {link},,1,sxsw download free music itunes link
The line at 6th &amp; Congress to enter the new Apple store wraps around 2 blocks  #SXSW,,1,line congress enter apple store wrap around block sxsw
I just shat a tear. RT @mention Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,2,shat tear good news austin bound apple fanboys link sxsw ipad
